channelId,channelTitle,subscriberCount,viewCount,videoCount
UCSgvQDek_7CQj08fu7kp1Iw,중년게이머 김실장,413000,171614130,564
UCm3SDarPtTOS_NjCh9d3TDQ,[하말넘많] heavytalker,676000,330257867,1112
UC6w43bdyvx21dHu9gfQjS2g,이웃집사장,232000,2059583,84
UConnM5zwOP9vG_LPTYbRsAg,Lâm Vlog,10600000,4184684037,689
UCv__cBuY9kyTWJje947ysFQ,나는아영 IamAhyoung,60600,22641452,454
UC7EgEOd6UKUHZHcvcb4ERsw,지새기의 인간극장,104000,16370420,137
UCpGmwseGcRtyG8GxRmozKPA,유네린LIN,319000,74014351,417
UCaS2hR-Nz2TnBhD68RQvDig,쏨따TV,13400,11457777,362
UCMDz2c1fx9jkK9aVENUCdUw,터틀이주미,253000,13683466,39
UCU1ECZb8wRxg6iVMBDfl3GA,연늘,70700,15325658,188
UCnz0ghEwEpUcFR-ESkfKXEg,투트랙,177000,16588412,979
UCuDUt0EtAygfXH3-LKPWzMw,우림이씨,73200,12222797,273
UCyJrhZm9KXrzRub3-wD2zWg,TheBrianMaps,18100000,4939974729,530
UCmbGE7Y2ov7pTBuUrkXgtTQ,할명수,1570000,495355624,861
UCd0pqkoWoVbxNH4N3dsetqA,장이나 Ena J,331000,68606438,336
UCX7JYcZIbRUxXaFMKDXLxtA,고나윤 Nayun Ko,115000,9218559,175
UCSfs2OeyOX0r5ZucDho8voQ,НИКОЛАЙ ПО-КОРЕЙСКИ,381000,143652819,857
UCDSj40X9FFUAnx1nv7gQhcA,월급쟁이부자들TV,1910000,617180424,3031
UCZB8FKm68UQPGWKebOel4Pw,수쩡민,315000,57509630,115
UCPrErKfV-Y9BNYhli1b7ACw,코미디엑기스,11600,22139513,69
UCm43qB4VP47Er31Egu6CTxg,예능국장님,52800,162071316,573
UCy6X4RYTjGnrQQpwC6xQG9g,대박s쇼츠,148000,242295268,525
UCmV0FwFQrNlNgxFKFu7MReg,Kdrama,15900,35400057,1409
UC6yEsiYQjnLve24g34lVa1w,낭만박상환,787000,2050030019,1237
UCKBuu5fcf-n8Ex45SRx5cwg,핵잼박스 - 1분 순삭,136000,366128231,537
UCF24NMvY6K0wUUaRR2jscQA,일분일초,368000,1274577606,1133
UCtfgw7QCPegh43N8clibnCA,치츄영업사원,57600,181663710,763
UCpBpsIYfgEe2s-zazZ643xw,모르면개손해,299000,1244798624,1349
UCJN09npM6f8THcvpiiqlubw,쇼츠빅리그,29300,70491661,82
UC_cYSffBupk_VwjPmmhLjCw,웃어요,34600,80846127,223
UC1IgtRvQKgQTStE4MGFafPA,숏! 무비중심,36800,72843183,171
UCjuETo87rYkh1OYfq8mUeIA,크크랜드,11400,31069652,422
UCVyQz2JomW33D2JGo6KAB9Q,드라마스토리,48100,229061686,400
UC6woCAHfQvaEcsVGydmG1tQ,짧을숏,218000,524690235,883
UC9sJx0j0AbtRQX55PTdsyJg,코밈 KOMEME,543000,864921487,712
UCKQNDrIaRCPAwFEoZQAt73g,예능보따리,318000,19148062,329
UCLvk7dfQZRLieDesCF232sg,시간 훅 가는 쇼츠,91200,495343487,330
UC8pqfCpRwtOeVG3lfvlkb9w,1분예능모음zip,603000,2189703743,1897
UCWJcyi-Rpll9CZ1MFS9OWwg,빵공장,24700,23711039,180
UCzucXSFjhZb10mqjXHXTo5Q,한살차이 [Hansal],1370000,2553235843,630
UCg8iq1rK87jJLpVc24iRypQ,썰푸집,72100,14273489,52
UCOOKj-kWvrsK8CDfHZTw9lw,Pixid,710000,395149222,376
UC3dOqtgCdsS2tFKIUNsJDxw,드라마잼,15400,74573968,158
UCfn4ZZuQHGkNg8PZtNNRIIg,예능내컷,91700,343857876,494
UCOHM2N1YQdb-cHWxJxwBMLQ,아는형님 Knowingbros,2490000,2059249326,5831
UCQneAQzVX0H6XMc7ElhlFDQ,G명언,19400,70021637,124
UCc73UrF2glN2L4ycZJWCLkg,예능chill번지,108000,54217739,318
UCmlzLklGeKTkmy112ILwAwQ,뭐볼거없나,142000,713463644,396
UCeFCPQuMsLsMoJ0EO1Xm7Kw,명언의 선율,144000,172696449,966
UCWwK-ls7Cr4g_ctG15seTeQ,그거참재밌었지,121000,4366255,42
UCMMx5jGFIQn8UNBg8sGvpmQ,드라마 핫쇼츠,282000,537094248,1731
UCh9ssfhbHbALUevPJ2I-pIQ,우도준,153000,53119874,282
