videoID,categoryID,channelID,title,viewCount,likeCount,commentCount,updateDate,duration,tags,thumbnailURL
wA9aRYiiUJs,2,UCHuLV8eMXQcC12X5REeMQlA,Repairing the dent by pulling the ring.ดึงลอยบุด้วยแหวน #ตัวถังและสีรถยนต์ #เปิดการมองเห็น,4173907,54059,303,2025-03-10T11:01:26Z,47,[],https://i.ytimg.com/vi/wA9aRYiiUJs/hqdefault.jpg
2N9mFThsoBs,2,UC-Soj8cT2IuLefpPffFugVQ,야생의 페라리 F8,192493,3583,93,2025-03-15T09:23:24Z,42,"['페라리', 'automobile', '차동차 사고', 'SNS 슈퍼카 사고', '슈퍼카 사고', '자동차', '고속도로 페라리', '페라리 F8', '자동차이야기']",https://i.ytimg.com/vi/2N9mFThsoBs/hqdefault.jpg
B6sT_y345kU,2,UC28KIazhcYzHC4JvHRfMZjg,가위바위보로 차 결정하기,56598,374,14,2025-03-18T05:21:00Z,25,"['중고차파괴자', '부싼카', '중고차']",https://i.ytimg.com/vi/B6sT_y345kU/hqdefault.jpg
LYZHKCeoHos,2,UCRKsLECGa4TEep-KhDL6dYQ,truck Dashcam record #truckdriver #dashcam #shorts  #shortvideo,46577316,1839156,7596,2025-03-05T13:08:46Z,35,"['TruckingLife', 'ShortVideo', 'TruckJourney', '#TruckDriver #Dashcam #TruckingLife #ShortVideo #TruckingAdventures #RoadTrip #TruckJourney""', 'TruckDriver', 'TruckingAdventures', 'Dashcam', 'RoadTrip']",https://i.ytimg.com/vi/LYZHKCeoHos/hqdefault.jpg
svo7lJl3pFg,2,UCq2vJ43ZiuL0Sd-scrw6Ezw,슈퍼스타 이천수를 위해 사우디 구단이 사준 차량,658520,4369,85,2025-03-07T02:00:43Z,48,[],https://i.ytimg.com/vi/svo7lJl3pFg/hqdefault.jpg
WQr1KuqIgLo,2,UCXPOR4gQVDrGXPf3_JEmcRw,타이어가 피자처럼 늘어나는 이유,509482,7234,178,2025-03-10T02:16:40Z,37,[],https://i.ytimg.com/vi/WQr1KuqIgLo/hqdefault.jpg
8oFElTI09RI,10,UCAl7xQ6q0PEgZMQD7zr4AKQ,like JENNIE (like JENNIE),4244892,27080,381,2025-03-06T15:02:51Z,124,"['like JENNIE', 'JENNIE', '제니 (JENNIE)', 'Ruby']",https://i.ytimg.com/vi/8oFElTI09RI/hqdefault.jpg
DlFXDl_ROAM,10,UCGKXb1syicud01CJOOFRykg,Die With A Smile,13307702,156066,711,2025-03-06T10:04:55Z,252,"['Die With A Smile', 'Bruno Mars', 'ブルーノ・マーズ', 'MAYHEM', 'ブルーノマーズ', 'レディーガガ', 'レディー・ガガ', 'Lady Gaga']",https://i.ytimg.com/vi/DlFXDl_ROAM/hqdefault.jpg
cCkAcVOS3ig,10,UC-clMkTZa7k-FxmNgMjoCgQ,HOT,1789188,30576,590,2025-03-14T04:00:29Z,144,"['LE SSERAFIM', 'HOT']",https://i.ytimg.com/vi/cCkAcVOS3ig/hqdefault.jpg
zwS4yd-u4Co,10,UCRfVrZpe3TA-LB4rutWAtkg,TOO BAD (feat. Anderson .Paak) (TOO BAD (feat. Anderson .Paak)),11513906,62887,1112,2025-02-25T05:01:42Z,154,"['Anderson .Paak', 'G-DRAGON', 'TOO BAD (feat. Anderson .Paak)', 'Übermensch']",https://i.ytimg.com/vi/zwS4yd-u4Co/hqdefault.jpg
zLBR-idGbDU,10,UC9HhDGbto7PIQP8ZFmKESkg,Flower (Flower),512876,7768,0,2025-03-13T09:01:20Z,170,"['Church OPPA', 'Flower', '오반(OVAN)', '교회오빠', 'OVAN', 'HEMO']",https://i.ytimg.com/vi/zLBR-idGbDU/hqdefault.jpg
QbvtPu2LN9Q,10,UCAl7xQ6q0PEgZMQD7zr4AKQ,Handlebars (feat. Dua Lipa) (Handlebars (feat. Dua Lipa)),1612200,13026,133,2025-03-06T15:03:24Z,185,"['JENNIE', 'Ruby', 'Handlebars (feat. Dua Lipa)', 'Dua Lipa', '제니 (JENNIE)']",https://i.ytimg.com/vi/QbvtPu2LN9Q/hqdefault.jpg
RZMp2kQObCs,10,UC9oomNHPNLrh819sxCgcYTA,To Reach You (너에게 닿기를),2087537,21960,354,2025-03-06T09:04:21Z,159,"['To Reach You', '10CM', '너에게 닿기를']",https://i.ytimg.com/vi/RZMp2kQObCs/hqdefault.jpg
aFrQIJ5cbRc,10,UCaO6TYtlC8U5ttz62hTrZgg,NMIXX(엔믹스) “KNOW ABOUT ME” M/V,8212620,205440,13777,2025-03-17T09:00:02Z,174,"['KNOWABOUTME', 'NMIXX', 'Fe3O4_FORWARD', 'BAE', 'JIWOO', '김지우', 'JYP Entertainment', '장규진', '해원', '엔믹스', '4thEP', '배이', 'SULLYOON', 'KYUJIN', 'LILY M', 'girlgroup', '규진', '릴리', 'kpop', 'LILY', '지우', 'KNOW_ABOUT_ME', '배진솔', '설윤아', 'JYP', 'JYPn', '설윤', 'HAEWON', '오해원']",https://i.ytimg.com/vi/aFrQIJ5cbRc/hqdefault.jpg
EC7lohjEnO0,10,UChLNWcjgBfZ9RPnzR5LM1mQ,Sweet Dreams (feat. Miguel),4481716,134638,0,2025-03-07T05:00:20Z,173,"['j-hope', 'Sweet Dreams (feat. Miguel)', 'Miguel']",https://i.ytimg.com/vi/EC7lohjEnO0/hqdefault.jpg
r9AEGPB6qIU,10,UC3IZKseVpdzPSBaWxBxundA,LE SSERAFIM (르세라핌) 'HOT' OFFICIAL MV,25191798,419751,23520,2025-03-14T03:58:07Z,169,"['LE_SSERAFIM', 'LE_SSERAFIM_HOT', '하이브', 'HYBE', '르세라핌', '하이브레이블즈', 'HYBE LABELS']",https://i.ytimg.com/vi/r9AEGPB6qIU/hqdefault.jpg
5wKF5VCF0bU,10,UCAl7xQ6q0PEgZMQD7zr4AKQ,ExtraL (feat. Doechii) (ExtraL (feat. Doechii)),1123263,5250,22,2025-03-06T15:02:11Z,168,"['JENNIE', 'ExtraL (feat. Doechii)', 'Ruby', 'Doechii', '제니 (JENNIE)']",https://i.ytimg.com/vi/5wKF5VCF0bU/hqdefault.jpg
NeFNFHF1Fzc,10,UCIwE33gDkznkuot-fU-WcOg,이렇게 좋아해 본 적이 없어요,472442,20399,879,2025-03-14T09:02:51Z,266,"['Never Loved This Way Before', 'BOYNEXTDOOR', '이렇게 좋아해 본 적이 없어요 (소녀의 세계 X BOYNEXTDOOR)', 'Never Loved This Way Before (Odd Girl Out X BOYNEXTDOOR)', '이렇게 좋아해 본 적이 없어요']",https://i.ytimg.com/vi/NeFNFHF1Fzc/hqdefault.jpg
ez8WMQqX81Q,10,UC_qHgUYj1AD49hrAdRw1eGg,Air,1399692,25797,0,2025-03-10T09:01:55Z,195,"['예지', 'AIR', 'YEJI', 'Air']",https://i.ytimg.com/vi/ez8WMQqX81Q/hqdefault.jpg
psxr2VUWizM,10,UCRfVrZpe3TA-LB4rutWAtkg,TAKE ME (TAKE ME),4001231,24262,650,2025-02-25T05:04:51Z,220,"['G-DRAGON', 'TAKE ME', 'Übermensch']",https://i.ytimg.com/vi/psxr2VUWizM/hqdefault.jpg
36OnVala8ag,10,UC4UnP3v-iaFaLdtKwp84Pmw,이찬원 '세월 베고 길게 누운 구름 한 조각' Live Clip [2024 이찬원 콘서트 '찬가'],138998,13336,1360,2025-03-17T09:00:04Z,359,"['찬가', '이찬원', '세월베고길게누운구름한조각', 'LeeChanWon']",https://i.ytimg.com/vi/36OnVala8ag/hqdefault.jpg
T5P9XyNzfwk,10,UCwZQh9xaDypKdmUafh1JaVQ,To Lady (숙녀에게),105902,2591,0,2025-03-16T09:01:50Z,208,"['숙녀에게', 'Song Pil Geun', '송필근', 'To Lady']",https://i.ytimg.com/vi/T5P9XyNzfwk/hqdefault.jpg
P-99g-lH4O0,10,UC-clMkTZa7k-FxmNgMjoCgQ,Ash,653659,18076,564,2025-03-14T04:00:18Z,198,"['Ash', 'LE SSERAFIM', 'HOT']",https://i.ytimg.com/vi/P-99g-lH4O0/hqdefault.jpg
